# gamma	ks
  10.00000	   1.00000
   0.00000	   0.00000
   0.10000	  -0.02419
   0.20000	  -0.17551
   0.30000	  -0.27359
   0.40000	  -0.31693
   0.50000	  -0.31797
   0.60000	  -0.38206
   0.70000	  -0.35257
   0.80000	  -0.51371
   0.90000	  -0.66864
   1.00000	  -0.72978
   1.10000	  -0.72798
   1.20000	  -0.65213
   1.30000	  -0.60576
   1.40000	  -0.61568
   1.50000	  -0.47791
   1.60000	  -0.36147
   1.70000	  -0.31618
   1.80000	  -0.17990
   1.90000	  -0.14046
   2.00000	  -0.21675
   2.10000	  -0.39951
   2.20000	  -0.46359
   2.30000	  -0.45493
   2.40000	  -0.45597
   2.50000	  -0.37928
   2.60000	  -0.36366
   2.70000	  -0.39103
   2.80000	  -0.59526
   2.90000	  -0.61203
   3.00000	  -0.65132
   3.10000	  -0.70012
   3.20000	  -0.68170
   3.30000	  -0.59711
   3.40000	  -0.61447
   3.50000	  -0.56812
   3.60000	  -0.57925
   3.70000	  -0.56275
   3.80000	  -0.62348
   3.90000	  -0.73102
   4.00000	  -0.69677
   4.10000	  -0.61767
   4.20000	  -0.53259
   4.30000	  -0.49464
   4.40000	  -0.36894
   4.50000	  -0.23025
   4.60000	  -0.16617
   4.70000	  -0.11755
   4.80000	  -0.21354
   4.90000	  -0.32380
   5.00000	  -0.42773
   5.10000	  -0.48031
   5.20000	  -0.44052
   5.30000	  -0.33938
   5.40000	  -0.16525
   5.50000	  -0.00948
   5.60000	  -0.08617
   5.70000	  -0.17100
   5.80000	  -0.28550
   5.90000	  -0.39238
   6.00000	  -0.44497
   6.10000	  -0.48883
   6.20000	  -0.44937
   6.30000	  -0.47966
   6.40000	  -0.55858
   6.50000	  -0.62198
   6.60000	  -0.59662
   6.70000	  -0.67407
   6.80000	  -0.65812
   6.90000	  -0.60577
   7.00000	  -0.63072
   7.10000	  -0.57648
   7.20000	  -0.55966
   7.30000	  -0.47390
   7.40000	  -0.33573
   7.50000	  -0.28965
   7.60000	  -0.20295
   7.70000	  -0.02604
   7.80000	  -0.01817
   7.90000	  -0.05588
   8.00000	  -0.12929
   8.10000	  -0.22152
   8.20000	  -0.20802
   8.30000	  -0.23506
   8.40000	  -0.26397
   8.50000	  -0.26149
   8.60000	  -0.26579
   8.70000	  -0.26947
   8.80000	  -0.22634
   8.90000	  -0.20638
   9.00000	  -0.09947
   9.10000	   0.10128
   9.20000	   0.22855
   9.30000	   0.33149
   9.40000	   0.41371
   9.50000	   0.55598
   9.60000	   0.66592
   9.70000	   0.76654
   9.80000	   0.71326
   9.90000	   0.60999
  10.00000	   0.64688
  10.10000	   0.69639
  10.20000	   0.69323
  10.30000	   0.63777
  10.40000	   0.68299
  10.50000	   0.78297
  10.60000	   0.99374
  10.70000	   1.11878
  10.80000	   1.14545
  10.90000	   1.00163
  11.00000	   0.94624
  11.10000	   0.98133
  11.20000	   0.96452
  11.30000	   0.90612
  11.40000	   0.97312
  11.50000	   0.95079
  11.60000	   0.84694
  11.70000	   0.91236
  11.80000	   0.83610
  11.90000	   0.84167
  12.00000	   0.92468
  12.10000	   0.95285
  12.20000	   0.95764
  12.30000	   0.97476
  12.40000	   1.02941
  12.50000	   1.04333
  12.60000	   0.98499
  12.70000	   0.86049
  12.80000	   0.77030
  12.90000	   0.72202
