# gamma	ks
  57.28951	  14.67136
   0.00000	   0.03163
   0.10000	  -0.00022
   0.20000	   0.01775
   0.30000	   0.01518
   0.40000	  -0.00090
   0.50000	  -0.00377
   0.60000	  -0.01439
   0.70000	   0.00994
   0.80000	   0.03846
   0.90000	   0.10531
   1.00000	   0.12405
   1.10000	   0.16793
   1.20000	   0.17993
   1.30000	   0.18225
   1.40000	   0.14095
   1.50000	   0.13680
   1.60000	   0.15369
   1.70000	   0.18445
   1.80000	   0.12327
   1.90000	   0.14565
   2.00000	   0.22061
   2.10000	   0.13653
   2.20000	   0.18501
   2.30000	   0.29124
   2.40000	   0.31847
   2.50000	   0.28124
   2.60000	   0.39099
   2.70000	   0.32586
   2.80000	   0.43398
   2.90000	   0.43949
   3.00000	   0.43478
   3.10000	   0.30248
   3.20000	   0.25708
   3.30000	   0.20793
   3.40000	   0.16892
   3.50000	   0.13519
   3.60000	   0.10536
   3.70000	   0.05624
   3.80000	   0.05286
   3.90000	   0.05731
   4.00000	   0.01657
   4.10000	   0.07996
   4.20000	   0.04950
   4.30000	   0.03661
   4.40000	  -0.00490
   4.50000	   0.02016
   4.60000	   0.07748
   4.70000	   0.13633
   4.80000	   0.08393
   4.90000	   0.07547
   5.00000	   0.04624
   5.10000	   0.02786
   5.20000	  -0.11437
   5.30000	  -0.08032
   5.40000	  -0.11113
   5.50000	  -0.14432
   5.60000	  -0.16431
   5.70000	  -0.07758
   5.80000	  -0.06480
   5.90000	  -0.04493
   6.00000	   0.04919
   6.10000	   0.04151
   6.20000	   0.05211
   6.30000	   0.01595
   6.40000	   0.00737
   6.50000	   0.07074
   6.60000	   0.03710
   6.70000	  -0.04889
   6.80000	   0.00753
   6.90000	   0.01606
   7.00000	   0.02744
   7.10000	   0.05360
   7.20000	   0.00007
   7.30000	   0.00804
   7.40000	   0.06935
   7.50000	   0.05621
   7.60000	   0.03509
   7.70000	   0.11262
   7.80000	   0.03108
   7.90000	   0.00824
   8.00000	  -0.02229
   8.10000	   0.01304
   8.20000	  -0.05781
   8.30000	   0.06282
   8.40000	   0.07849
   8.50000	   0.09890
   8.60000	   0.11470
   8.70000	   0.17861
   8.80000	   0.20179
   8.90000	   0.23706
   9.00000	   0.18357
   9.10000	   0.15459
   9.20000	   0.15782
   9.30000	   0.16597
   9.40000	   0.19118
   9.50000	   0.28568
   9.60000	   0.27085
   9.70000	   0.30107
   9.80000	   0.23451
   9.90000	   0.25759
  10.00000	   0.16513
  10.10000	   0.14820
  10.20000	   0.16643
  10.30000	   0.15678
  10.40000	   0.16973
  10.50000	   0.22744
  10.60000	   0.24443
  10.70000	   0.24597
  10.80000	   0.20013
  10.90000	   0.23886
  11.00000	   0.21995
  11.10000	   0.22221
  11.20000	   0.13484
  11.30000	   0.18203
  11.40000	   0.19061
  11.50000	   0.32196
  11.60000	   0.33156
  11.70000	   0.36200
  11.80000	   0.37535
  11.90000	   0.40698
  12.00000	   0.39043
  12.10000	   0.44063
  12.20000	   0.31901
  12.30000	   0.35107
  12.40000	   0.29506
  12.50000	   0.32188
  12.60000	   0.25768
  12.70000	   0.16522
  12.80000	   0.19621
  12.90000	   0.16079
  13.00000	   0.13253
  13.10000	   0.12970
  13.20000	   0.11280
  13.30000	   0.19887
  13.40000	   0.21332
  13.50000	   0.24524
  13.60000	   0.27682
  13.70000	   0.28877
  13.80000	   0.27261
  13.90000	   0.20740
  14.00000	   0.24207
  14.10000	   0.18419
  14.20000	   0.25060
  14.30000	   0.16643
  14.40000	   0.12407
  14.50000	   0.10846
  14.60000	   0.06517
  14.70000	   0.00425
  14.80000	   0.03909
  14.90000	   0.13400
  15.00000	   0.06998
  15.10000	  -0.01250
  15.20000	   0.00962
  15.30000	  -0.11519
  15.40000	  -0.16407
  15.50000	  -0.07877
  15.60000	  -0.03378
  15.70000	   0.07267
  15.80000	  -0.02746
  15.90000	  -0.13419
  16.00000	  -0.16017
  16.10000	  -0.11591
  16.20000	  -0.18938
  16.30000	  -0.17970
  16.40000	  -0.23582
  16.50000	  -0.29988
  16.60000	  -0.29589
  16.70000	  -0.30734
  16.80000	  -0.25976
  16.90000	  -0.25733
  17.00000	  -0.30259
  17.10000	  -0.27339
  17.20000	  -0.29318
  17.30000	  -0.32135
